"","FBspecies","a","b","Locality"
"339","Pteragogus pelycus","0.015","2.93","Continental shelf and upper slope / 2008-2011"
"340","Himantura uarnak","0.0848","2.72",NA
"341","Himantura uarnak","0.0624","2.83",NA
"342","Himantura uarnak","0.036","2.957","Oman Sea / 2014"
"343","Himantura uarnak","0.0417","3.004","Oman Sea / 2014"
"344","Himantura uarnak","0.0318","2.983","Oman Sea / 2014"
"345","Himantura uarnak","0.0388","3.02","Oman Sea / 2014"
"346","Himantura uarnak","0.0117","3.17","Mediterranean"
"347","Muraena helena","0.00051","3.3141","Fishing ports (1985-1994)"
"348","Muraena helena","0.00174","3","Vila Real Santo Antonio, Algarve"
"349","Muraena helena","0.00048","3.322","Madeira archipelago, eastern-central Atlantic, 1997, 2004-05"
"350","Muraena helena","0.0116","2.612","Dubrovnik, Elafiti Archipelago, Mljet and Sveti Andrija islands (Oct 2009-Dec 2010)"
